beta,q,shat,electron_temp_gradient,electron_dens_gradient,deuterium_temp_gradient,kappa,delta,beta_prime,IBMgr,isIBMunstable,run_timestamp
0.014315011,3.685247229,0.78353701,1.916198663,0.888436437,0.74975469,1.8489983869747866,0.711184878266379,-0.0643702543859185,-0.056049922273901785,False,2026-03-26T11:40:09.169572+00:00
0.010900788,3.643093526,0.539570482,1.690793896,0.707507522,2.094643489,2.2243312134595943,0.346026141275728,-0.05769348551580896,-0.026972041180300804,False,2026-03-26T11:40:09.169572+00:00
0.011773535,3.946311344,0.952738018,1.718612149,0.798285284,2.155715479,1.3030636607993589,0.5519562130599696,-0.06555547685420782,-0.06095503316963765,False,2026-03-26T11:40:09.169572+00:00
0.015305201,4.567046584,0.42463351,0.376666307,1.207503988,0.794220841,1.0079227274472378,0.45646754119506233,-0.0558902989688166,-0.042247992611515045,False,2026-03-26T11:40:09.169572+00:00
0.014743173,4.485064437,0.4018234,1.851200808,0.996101044,2.389752047,2.6861646268536115,0.5760905350564526,-0.09353798055965527,-0.0399930190054717,False,2026-03-26T11:40:09.169572+00:00
0.016353319,3.967307003,0.461707234,1.665945297,0.5115541,2.289495018,1.9101786359099917,0.44524076764843457,-0.08292208050948219,-0.05388871075436882,False,2026-03-26T11:40:09.169572+00:00
0.002996782,3.274443584,1.066034523,1.599223471,1.139253723,1.44155401,2.1472612176424244,0.41260867272296275,-0.016195064238937424,-0.03264378573368381,False,2026-03-26T11:40:09.169572+00:00
0.002173675,3.372091914,0.370138169,0.960914123,0.675793765,2.053288228,2.6026563261129034,0.6578291063799281,-0.009684879323007864,-0.02345051035128306,False,2026-03-26T11:40:09.169572+00:00
0.015846135,3.363563543,0.930413597,1.60587017,1.046668823,0.836777246,2.5264940758503434,0.7136325972229063,-0.0728592587916862,-0.04471826017448839,False,2026-03-26T11:40:09.169572+00:00
0.008637847,3.408964682,0.84869871,1.636184261,0.585535262,2.832503108,2.723868130299803,0.3553736683253805,-0.049686242241700984,-0.01589882817605055,False,2026-03-26T11:40:09.169572+00:00
0.01255308,4.196073288,1.001630863,1.510781503,0.8857412,2.625244417,1.6439020733413636,0.7441287653865734,-0.07560673314579394,-0.058412567749833604,False,2026-03-26T11:40:09.169572+00:00
0.003488153,4.234381698,1.001130945,2.219404466,0.627719991,2.245511462,1.3875891068786919,0.5429110428480042,-0.020283046620638425,-0.02767095595394254,False,2026-03-26T11:40:09.169572+00:00
0.015594242,3.248326142,1.165020852,1.746044851,0.541577577,1.898028057,1.025407164429263,0.31259636643956185,-0.07496856175252539,-0.07632757030271826,False,2026-03-26T11:40:09.169572+00:00
0.003974939,4.566741426,0.682064824,1.391583217,1.060284501,0.811490737,1.792114102411227,0.44847026331106515,-0.017430878539138366,-0.016877614229855724,False,2026-03-26T11:40:09.169572+00:00
0.011512239,4.299012638,1.015619424,0.794638932,1.018493072,1.707038766,2.213010277108152,0.3402568174568131,-0.05328197589733091,-0.02721450965126144,False,2026-03-26T11:40:09.169572+00:00
0.003678451,3.294514844,1.009187684,0.964309058,0.620946088,2.15654951,2.1330352624692126,0.6244829652098598,-0.01638413435645015,-0.040818758582163155,False,2026-03-26T11:40:09.169572+00:00
0.015011355,4.821161134,0.321304604,0.980454155,1.134489595,0.89526745,2.7576324384662794,0.5782609674800595,-0.0632195236806703,-0.02911118941234285,False,2026-03-26T11:40:09.169572+00:00
0.016224227,3.030000909,0.533094409,0.513518488,0.974711611,2.609841411,2.6555566461283826,0.5369837506961421,-0.0842143928534453,-0.03144530832073981,False,2026-03-26T11:40:09.169572+00:00
0.001437478,3.847842686,0.631936174,2.333232793,0.916586436,0.74275377,1.9930705789915901,0.7471663997988951,-0.007135245179139274,-0.025283692323666777,False,2026-03-26T11:40:09.169572+00:00
0.00207378,4.3864465,0.300485999,1.343991006,1.022388947,1.396170709,1.2453820566511575,0.575207233614988,-0.010087842575215347,-0.01579049456063351,False,2026-03-26T11:40:09.169572+00:00
0.001178174,4.857043377,0.571742872,0.607571458,0.809994843,2.804214516,2.001153203630194,0.6605239239705131,-0.006068331831785998,-0.01570755155395946,False,2026-03-26T11:40:09.169572+00:00
0.013250733,3.353220795,0.357052414,2.335386935,0.681167561,1.01136019,2.8389721781993646,0.4114348194538969,-0.0631362833793318,-0.017893783653155283,False,2026-03-26T11:40:09.169572+00:00
